标题,链接,up主,up主id,精确播放数,历史累计弹幕数,点赞数,投硬币枚数,收藏人数,转发人数,发布时间,视频时长(秒),视频简介,作者简介,标签,视频aid
加班一周终于忙完，夜里饿了，吃碗面庆祝一下！,https://www.bilibili.com/video/BV1nN411C7pc,盗月社研究所,179258807,309736,1169,25008,6062,1615,176,2023/6/2 17:39,393,解锁后期小伙伴新人物。,未找到作者简介,"美好生活日常记录,拌面,夜宵,美食,搞笑,日常,2023高考季,吃面,重庆小面,碳水,生活,日常",486857846
大庆赶海，退潮后捡到一只和手掌一样大的海葵，还正在开着花,https://www.bilibili.com/video/BV1uW4y1R7e8,大庆赶海,524704055,525175,3443,36506,1661,1069,471,2023/6/2 18:10,395,大庆赶海，退潮后捡到一只和手掌一样大的海葵，还正在开着花,未找到作者简介,"螃蟹,赶海,美食,海带,海螺,海葵,八爪鱼,蛏子,美食,田园美食",954333992
【小拉】一上头买了块比我还大的劳力士,https://www.bilibili.com/video/BV1iV4y1z7P9,-小拉-,41759,302778,4525,17650,1109,1264,457,2023/5/31 18:40,395,从没有想过两年前的手表视频会以这样一种形式收尾，也算是某种程度上的图一乐了(欢迎各位锐评这块表！,未找到作者简介,"B-buy时尚服饰大赏,手表,开箱,机械,美妆,服饰,劳力士,体验,购物,机械表,腕表,中古,vintage,时尚,穿搭",869257459
居然好用！！切水果神器！,https://www.bilibili.com/video/BV1Ro4y1M7tZ,网不红萌叔Joey,42870908,393085,2953,23072,1130,1405,198,2023/6/1 18:03,401,夏天来了！好吃的水果也来了！爱吃水果的宝贝鹅看过来，本期小萌淘到了几个切水果神器，一起看看好不好用吧！柠檬、西瓜、芒果、椰子…没想到用切水果神器切这些水果更好吃了！真的不要太方便！快来看看有没有你想入手的吧！,未找到作者简介,"B站美食测评局,水果,美食,夏天,神器,切水果,夏季,切水果神器,美食,美食测评",401861889
《 夫 人 今 天 不 在 家 》,https://www.bilibili.com/video/BV1Nh4y1d7oi,远古黑金,158119101,1265906,2647,90610,14304,12773,3798,2023/5/31 20:56,401,最近不是过儿童节嘛我家那老不死的突然良心发现，给了我2000元钱于是他重新成为了我爸看着那手中那厚厚的2000块，我打算好好利用这笔钱改善一下生活在游戏厅花了一点之后，我拿着剩下的150块打算买一部手机！半晌过后，手机店的老板看了看我手里的钱和我指着的苹果13露出了极不情愿的表情他微微一笑，表示我只要再添加3000大洋就可以买下这部苹果13于是我欣然接受，打开曾经的同学群开始“挣”钱！但一个个红色,未找到作者简介,"动画短片群星计划,搞笑配音,手书,搞笑,同人配音,葫芦兄弟,葫芦娃,全程高能,爆笑,道歉区up主,动画短片群星计划 第八期,动画,短片·手书·配音",656765222
模仿生活区短视频现状：,https://www.bilibili.com/video/BV1Fk4y1s7AH,元气小鸡血,14520741,580322,1293,30580,6620,1767,928,2023/6/1 18:30,402,开心拍戏 认真恰饭！！??老铁们来点排面，多多【点赞】【投币】【弹幕】【评论】啦感恩子！！?本期bgm：自作多情浪漫（纯音乐）,未找到作者简介,"浪漫,原来家还可以这样,搞笑,恶搞,网络,模仿,短视频,戏精,生活,搞笑",741819304
奥列格园长：三 顾 狮 笼！,https://www.bilibili.com/video/BV168411f7JX,克里米亚野生动物园,590490400,171168,937,13882,3654,694,111,2023/6/1 12:20,402,2023年5月15日于园长频道发布的视频,未找到作者简介,"这个宠物不重样,狮子,动物世界,俄罗斯,动物观察局21.0 小动物集合啦,动物圈,野生动物",229255022
贵阳到昆明（下），路上刹车系统都坏了，货车司机想想都后怕,https://www.bilibili.com/video/BV1Qh4y1s7cF,压车夫人,1529611437,64543,332,5814,3863,304,19,2023/6/2 16:59,402,龙哥，一个万幸的人。,未找到作者简介,"云南,生活记录,压车夫人,记录,记录生活,创作灵感,货车司机,生活,出行",614366361
玩铁道玩的！_哔哩哔哩bilibili,https://www.bilibili.com/video/BV1nu411s7yC,凉风Kaze,14110780,363895,915,51998,4840,3121,426,2023/5/31 18:00,404,"简介：彩蛋还都挺能藏！
更多活的凉风可以来直播间：http://l；已有51998名玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新",未找到作者简介,"玩铁道玩的！,崩坏：星穹铁道创作者激励计划,搞笑,手机游戏,梗,彩蛋,高能,星穹铁道,沙雕,凉风Kaze,游戏,手机游戏",529137619
【原神】用绮良良的e从无相之风走到甘露池_哔哩哔哩bilibili_原神,https://www.bilibili.com/video/BV12X4y1b7GF,什么都想发视频的up主,32500783,301474,1088,31388,8132,4054,1252,2023/6/2 11:10,405,简介：喜欢视频的小伙伴记得来个一键三连支持一下，谢谢了；已有31388名原神玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"【原神】用绮良良的e从无相之风走到甘露池,Nyanyanyanyanyanyanya!,原神UP主激励计划,原神,手机游戏,游戏视频,无相之风,原神头号玩家,米哈游,甘露池,绮良良,游戏,手机游戏",356796199
始皇帝嬴政，朕所欲行之处，即为道,https://www.bilibili.com/video/BV11u4y1o7yq,无口喵话漫,1422947137,254435,842,23971,431,4092,92,2023/6/1 16:38,405,《终末的女武神》漫画传送门在这：https://manga.bilibili.com/detail/mc29838?from=qdb_1422947137_v_8,未找到作者简介,"动画园游会,格斗,动漫杂谈,二次元,热血,释迦摩尼,战斗,动漫解说,终末的女武神,动画,动漫杂谈",826822465
哪个英雄是单杀之王？韩 服 王 者 就 这？#204_电子竞技热门视频,https://www.bilibili.com/video/BV1FP411X79M,yizhilugou,439004370,312021,855,15399,5466,1392,182,2023/5/31 12:05,407,"简介：哪个英雄是单杀之王？韩 服 王 者 就 这？#204
BGM；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新",未找到作者简介,"哪个英雄是单杀之王？韩 服 王 者 就 这？#204,Jackpot,万物皆可游戏,LPL,英雄联盟,电子竞技,游戏赛事,精彩集锦,韩服,王者,游戏,电子竞技",314172371
《一拳超人》230话.杰诺斯单秒龙级怪人，埼玉要被闪光收为爱徒！,https://www.bilibili.com/video/BV1iu411p7Qs,光影笔墨,269319344,192578,2409,12305,2801,688,99,2023/6/1 8:36,408,本期视频对应230话。部分翻译借鉴于【团子汉化组】。,未找到作者简介,"动漫杂谈大会,埼玉,动漫杂谈,一拳超人,一击男,燃,一拳,热血,笔墨,致热爱动画的你·2023春季创作激励,动画,动漫杂谈",529320323
【超级小桀】给猪猪好好上一课_哔哩哔哩bilibili_超级马里奥制造_游戏集锦,https://www.bilibili.com/video/BV19m4y1474X,超级小桀的日常,29440965,189504,763,14585,3750,1127,1012,2023/6/1 21:45,412,"简介：微博：@超级小桀 
喜欢的点个关注收藏硬币加点赞吧；更多超级马里奥制造实用攻略教学，爆笑沙雕集锦，你所不知道的超级马里奥制造游戏知识，热门超级马里奥制造游戏视频7*24小时持续更新",未找到作者简介,"【超级小桀】给猪猪好好上一课,万物皆可塞尔达,超级马里奥制造,马里奥制造,马里奥制造2,超级玛丽,游戏集锦,单机游戏,单机联机,超级小桀,超级马里奥制造2,万物皆可游戏 塞尔达篇,游戏,单机游戏",699357548
【3.7】散兵无伤满星单通12层上下_哔哩哔哩bilibili_原神,https://www.bilibili.com/video/BV12h4y1d7TJ,-ojoj-,287190004,227227,2050,16053,4517,2100,4499,2023/6/1 7:50,415,简介：伤害全是圣遗物和buff打的；更多原神实用攻略教学，爆笑沙雕集锦，你所不知道的原神游戏知识，热门原神游戏视频7*24小时持续更新,未找到作者简介,"【3.7】散兵无伤满星单通12层上下,原神UP主激励计划,原神,手机游戏,3.7深渊,流浪者,原神高能团,游戏,手机游戏",656870518
第一次cosplay出门，没想到居然…,https://www.bilibili.com/video/BV17d4y1f77f,宝剑嫂,113362335,2329845,4576,172888,39602,13709,5848,2023/5/27 21:23,416,无广告纯分享，感谢每一个爱夸夸的人，全世界的宝藏！！勇敢的穿自己爱穿的衣服！打扮成任何自己喜欢的样子吧！！！ 视频播放量 2329845、弹幕量 4576、点赞数 172888、投硬币枚数 39602、收藏人数 13709、转发人数 5848,未找到作者简介,"2023英雄联盟MSI,萨勒芬妮,情侣,化妆,美妆,vlog,搞笑,种草vlog,520,电子竞技,生活,日常,分享,Cosplay,游戏,电子竞技",401520580
反派超级战争,https://www.bilibili.com/video/BV1R8411Z76T,次级英雄娄不凡,77557766,102389,477,9099,2867,1794,533,2023/6/1 18:00,416,科幻、警匪、武侠等诸多类型的影视反派齐聚木叶村，只为争夺畜斯卡最佳反派的桂冠。本着比赛第一，无视友谊的竞技精神，选手们八仙过海，不折手段。究竟谁能笑到最后...因为赛场过于激烈，举办方不小心遗失了选手名单，快来说说你都看到了哪些影视人物吧~（狗头）,未找到作者简介,"鬼畜星探企划,火影忍者手游,鬼畜,搞笑,特效,混剪,电影,沙雕,热血,大筒木金氏,鬼畜,鬼畜剧场",229138746
魏大锤的荒野乱斗直播合同到到期了_荒野乱斗,https://www.bilibili.com/video/BV1Nu4y1Z7Wa,魏查德,8405756,157469,1388,19972,10189,3196,528,2023/6/1 23:41,419,"简介：总结一下：
1、锤哥跟某牙的直播合同到期了
2、倒数日最后一；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新",未找到作者简介,"魏大锤的荒野乱斗直播合同到到期了,荒野乱斗,手机游戏,直播,搞笑解说,魏大锤,休闲游戏,主播,泪目,游戏主播,彪子,游戏,手机游戏",826848354
闪电五万块，啪，很快啊，这个高中生花出去了！,https://www.bilibili.com/video/BV11h4y1s746,谭乔,330415548,156905,1333,14671,7828,895,152,2023/6/1 15:16,420,故事还要从2023年一个平凡的18点18分，一位来自【竹板那么一打别的咱不夸】的天津高中生说起……爱心速递，大家一起拯救小生命,『全球华语地区享有一定盛誉』（谭乔工作室vx: qiaoqiaodexing） 360行,"公益贴贴计划,公益,正能量,爱心,生活记录,日常,原创,谭乔,记录,捐献,生活,日常",614312928
《幻塔》澄镜与过往，明景拟态PV发布_手机游戏热门视频,https://www.bilibili.com/video/BV1WP41197bo,幻塔手游,586631367,313060,1462,12826,4575,1286,1496,2023/6/2 10:00,421,简介：[那茶水第一次品尝或许稍有些苦涩，但是却能引发绵长的回味。]；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"《幻塔》澄镜与过往，明景拟态PV发布,手机游戏,幻塔,明景,幻塔3.1相逢夏月满,高自由度,拟态,开放世界,游戏,手机游戏",313892592
全高台六星干员 VS 满级治疗·宿主重装组长，离谱的血条魔术【明日方舟】_手机游戏热门视频,https://www.bilibili.com/video/BV1jh4y1d7qt,樗柒ヽ,13371339,312431,3239,19775,1721,1819,276,2023/6/1 12:02,422,"简介：求三连，求三连，求三连QAQ
关卡：13区废墟
词条选择：所；更多明日方舟实用攻略教学，爆笑沙雕集锦，你所不知道的明日方舟游戏知识，热门明日方舟游戏视频7*24小时持续更新",未找到作者简介,"全高台六星干员 VS 满级治疗·宿主重装组长，离谱的血条魔术【明日方舟】,Ubiquitous dB,明日方舟创作者应援计划,明日方舟,手机游戏,娱乐,电子斗蛐蛐,阿米娅,整活,明日方舟UP主应援计划 – 孤星,游戏,手机游戏",656770792
一顿爆cei，北京碰头食,https://www.bilibili.com/video/BV1kk4y1W7uo,吃货请闭眼,94114029,239314,707,13805,3101,953,168,2023/6/1 18:30,423,【白聊002】虽然不是专门做给中年的节目，但恰好我中年，结果很多中年爱看。有共鸣吧。每当我带酒，评论区经常表扬我，这里都是年轻人你卖白酒真好笑。期期恰饭，滚出b站。我在卖货，亲爱的，自媒体是我的工作，你硬要叫恰饭。我酒卖的和D音同行都不好意思交流，但是确保了团队小伙伴的生活，确保更到了今天。所以这是一档靠中年人一瓶一瓶养大的节目，给您作揖！我能做的不是说句谢谢就完了，而是不做假酒，不水节目。其次要,未找到作者简介,"分享你的夏日必吃美食,街头美食,探店,美食,北京,典故,锅贴,熟食,酱肉,四季美食·芬芳五月·美食探寻季,美食,美食侦探",741768534
天地大同！神之一手！特效小哥大战八冠王柯洁！,https://www.bilibili.com/video/BV1qo4y137tA,特效小哥studio,3066511,2047194,4347,115152,13168,12250,3929,2023/5/30 18:12,423,这次是电老八分身大战洁宝啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！哦对了，《自在西游》这次为了赞助这次特别大战，真的重金打造了一个黄金木鱼，各位股东点赞投币收藏之余，也别忘了去专题站支持一下，助力这场“神之一手，巅峰对决”！,未找到作者简介,"鬼畜星探企划,4K,搞笑,美少女,西游记,恶搞,特效,柯洁,自在西游,抽象,生活,搞笑",399244386
多种暗影生物入侵！饥荒6月测试服超详细解析！【饥荒研究者】_哔哩哔哩bilibili_饥荒,https://www.bilibili.com/video/BV1cW4y1R7Jn,亚丹Ardent,433998558,106573,588,6613,1620,755,2766,2023/6/2 16:09,423,"简介：发配到海上和猴子抢香蕉。
发配到大陆和亮茄抢地盘。
发配到洞；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新",未找到作者简介,"多种暗影生物入侵！饥荒6月测试服超详细解析！【饥荒研究者】,Crystalline Chill,饥荒,饥荒联机版,亚丹Ardent,游戏,单机游戏",954271557
5元一支！网红推荐的“平价雪糕”，究竟值不值？？？,https://www.bilibili.com/video/BV1bM4y1i7wz,穿毛裤的小拉泽,478691043,1286807,5248,63698,7498,9392,1029,2023/5/30 17:10,425,今年能刷到很多视频推荐的平价雪糕，买来你会发现基本全都在5元钱左右~也许是拉子的价值观跟不上时代的步伐了吧~5元一支啥时候都能成平价雪糕了？！本期全程无广！无广！无广！神之舌真实测评分享~如果你们觉得本期有用，麻烦大佬们三连支持下，万分感谢！注：封神榜&gt;名士榜&gt;凡人榜&gt;妖魔榜,未找到作者简介,"分享你的夏日必吃美食,美食,雪糕,天价雪糕,便宜雪糕,宝藏雪糕,解暑,冰棍,雪糕测评,网红雪糕,雪糕推荐,四季美食·芬芳五月·美食探寻季,美食,美食测评",911647545
【Virre出品】KennyS退役-传奇狙击手生涯集锦_哔哩哔哩bilibili,https://www.bilibili.com/video/BV15X4y187rW,VirreCSGO,381881579,319569,3053,22689,8412,6318,3715,2023/6/1 12:00,425,更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"【Virre出品】KennyS退役-传奇狙击手生涯集锦,CS:GO,电子竞技,kennys,游戏,电子竞技",356858348
凌晨4点去泉州蟳埔村吃蚵仔煎看簪花女是怎样体验？我很喜欢在蟳埔村的一天，她们的头上花园，是希望是浪漫也是爱情。如果有机会，欢迎你来一次蟳埔村。,https://www.bilibili.com/video/BV1sm4y1478A,南京刘好燃,503995541,79340,330,9146,2349,1023,983,2023/6/1 20:00,426,凌晨4点去泉州蟳埔村吃蚵仔煎看簪花女是怎样体验？我很喜欢在蟳埔村的一天，她们的头上花园，是希望是浪漫也是爱情。如果有机会，欢迎你来一次蟳埔村。,日常美食vlog分享，互联网普通上班族，坚持周更，相关视频：女明星体验泉州非遗 簪花围，美的各有千秋，去便利店随便对付一口,"缤纷六月·美食欢聚会,街头美食,旅游,美食,泉州,旅行,簪花女,蚵仔煎,Vlog,泉州美食,簪花,蟳埔村,美食,美食记录",699263646
【炉石骚套路 91】绝对防御！法师新版本真正无敌的套路！！_炉石传说,https://www.bilibili.com/video/BV1Ru4y1o7hk,夏布去,1985025,243369,1511,23249,5790,1288,619,2023/6/1 21:53,427,简介：新一期终于来啦！一键三连冲冲冲！；已有23249名炉石传说玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"【炉石骚套路 91】绝对防御！法师新版本真正无敌的套路！！,桌游棋牌那点事儿,暴雪,炉石传说,卡牌游戏,桌游棋牌,炉石,逗鱼时刻,炉石骚套路,夏布去,法师,桌游棋牌创作营（欢乐斗地主期）,音乐之劫,游戏,桌游棋牌",826817066
在社牛面前，刘飞儿仿佛坐牢！在折耳根面前，我……,https://www.bilibili.com/video/BV1a24y1P7V8,610是蛋宝,389995459,153281,833,8093,2892,1058,127,2023/6/2 18:10,431,终于见到飞宝咯！！！！！狠狠抱住贴贴！！谢谢大家的三连！三连越多，下一期女仆更新越快哟~~~,未找到作者简介,"跟着UP主出行看世界,刘飞儿,旅游,vlog,美食,搞笑,Vlog我的探店笔记,生活记录,旅行,主播,挑战,蛋宝,bilibili旅行奇遇记,生活,出行",784309984
我们花了9个小时，终于把班主任整哭了,https://www.bilibili.com/video/BV1yh4y1o7aE,又是浮梦,513729639,207528,719,16074,5351,2938,771,2023/5/27 8:36,433,整班主任?给班主任惊喜?,未找到作者简介,"美好生活日常记录,生活记录,校园,青春,2023高考季,学生,同学,老师,记录,生活,日常",656566567
【水果猎人】臭袜子+胳肢窝味道的水果，我替你们尝了！,https://www.bilibili.com/video/BV1RX4y1b7z6,水果猎人杨晓洋,400230277,202965,918,18896,2316,576,135,2023/6/1 17:56,437,【水果猎人】臭袜子+胳肢窝味道的水果，我替你们尝了！,未找到作者简介,"正经的知识又增加了,水果,户外,vlog,科普,生命,植物,国外,自然,水果猎人,2023科学很可爱,知识,科学科普",356792316
8倍全自动M16?,https://www.bilibili.com/video/BV1e24y1P7Ff,一米八的坤儿,19738891,245964,5622,16641,1767,625,281,2023/5/31 19:15,440,记得点赞，关注！！！中午11点和晚上7点分段直播，就在b站直播！！！（每周周一休息一天） 视频播放量 245964、弹幕量 5622、点赞数 16641、投硬币枚数 1767、收藏人数 625、转发人数 281,未找到作者简介,"吃鸡行动UP主激励计划,吃鸡,射击游戏,绝地求生,FPS,精彩,PUBG,吃鸡行动4月激励计划,游戏,网络游戏",784311670
隋卞一做 | 东坡肘子,https://www.bilibili.com/video/BV1wc411V7kb,隋卞做,3.49308E+15,423483,1171,28581,11732,7634,1095,2023/6/1 17:00,441,东坡肘子,未找到作者简介,"分享你的夏日必吃美食,美食,美食制作,美食教程,四季美食·芬芳五月·美食探寻季,美食,美食制作",271765789
《魔兽争霸3》，每5秒钟掉下1个地狱火，各族四英雄谁能扛得住？_电子竞技热门视频,https://www.bilibili.com/video/BV1jo4y1u71j,公孙雅量,7773004,267811,2464,18225,11770,1464,263,2023/5/31 21:28,441,简介：魔兽电子斗蛐蛐；已有18225名魔兽争霸玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"《魔兽争霸3》，每5秒钟掉下1个地狱火，各族四英雄谁能扛得住？,魔兽争霸3,魔兽争霸,电子竞技,魔兽,怀旧,冰封王座,策略游戏,电子斗蛐蛐,对战,即时战略,游戏,电子竞技",399308123
【硬核改装】把战斗机引擎装扭扭车上会怎么样？涡轮喷气扭扭车！,https://www.bilibili.com/video/BV1eo4y1u75U,魔界造物,74529609,215581,936,12638,2151,1002,594,2023/6/1 16:00,443,【硬核改装】把战斗机引擎装扭扭车上会怎么样？涡轮喷气扭扭车！,未找到作者简介,"我选猫更省,战斗机,机械,手工,DIY,改装,硬核,引擎,涡轮,天猫618,科技,极客DIY",399367916
机械组巨物？乐高的硬核推土机！42131卡特彼勒 D11,https://www.bilibili.com/video/BV1qm4y147U7,炒蛋车间长,4242174,141041,449,11499,7208,2194,347,2023/6/1 21:33,445,终于把这个庞然大物拼完了，然而还有另一个庞然大物在等着我。。,未找到作者简介,"皮卡丘,乐高,LEGO,雷蛇,宝可梦外设,积木,机械组,动画,手办·模玩",699270348
万物加芝士！好能吃腻 韩国人好爱吃芝士,https://www.bilibili.com/video/BV1ek4y1W725,知名相声演员BBBBB大王,15892313,1264215,4650,115707,31162,9536,4719,2023/5/29 20:40,447,韩国万物加芝士，好能吃腻，韩国人为什么这么喜欢吃芝士？,未找到作者简介,"分享我的宝藏妆容,化妆,美妆,韩国,vlog,搞笑,Vlog我的探店笔记,种草vlog,芝士,时尚,吐槽,韩国人,一起fun放假,时尚,美妆护肤",741711031
电子音乐刻板印象大赏 第六期 | Hardcore,https://www.bilibili.com/video/BV1Yo4y1u7ri,ZCHBImpulseX,123704388,121834,1409,14484,9323,4204,2063,2023/6/1 13:36,448,先叠甲，本视频中的音游梗只是玩梗，没有任何对于音游圈的讽刺，本人尊重每一个圈子还是那句话，视频仅供娱乐玩梗，看个乐子即可，请勿当真，杠就是你对视频中所有的个人曲子已发布的只有EXTREME BOUNCE - ZCHB/Postcard Music/WERECORDS，其余曲子均未发布且为半成品，实在想要可以进粉丝群看群文件视频中的MV及相关素材均来自油管，用的素材太多了懒得列举了，让弹幕解答吧灰屏,未找到作者简介,"音乐分享官,电子音乐,电音,硬核,Angerfist,刻板印象大赏,音乐分享官7.0,雪 Distance,刻板印象,Hardcore,HDM,音乐,音乐综合",399361584
老板：我可没说只雇了一个杀手,https://www.bilibili.com/video/BV1Ah4y1x7MP,原野郎中,27717433,536516,3493,59048,19046,10152,683,2023/6/2 17:00,448,简介：游戏：《Feed Me Billy》；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"恐怖游戏,独立游戏,feed me billy,逆向恐怖,原野郎中,游戏,单机游戏",614370995
曾因最后一集太烂被喷六年！如今竟能出第二季！这番真的奇迹！,https://www.bilibili.com/video/BV11P411X7BZ,政宗君de情敌,68021907,150694,383,10220,2707,2372,102,2023/6/1 20:11,448,追番目录系列第254期！本期是七月新番导视，我的介绍比较详细，看看今年七月有哪些好玩的新番~,未找到作者简介,"动漫杂谈大会,动漫杂谈,搞笑,新番,二次元,新番导视,名场面,七月新番,动漫解说,番剧解说,致热爱动画的你·2023春季创作激励,动画,动漫杂谈",314286809
【苏星河硬件】全新的华为MateX3，究竟领先了时代多少？,https://www.bilibili.com/video/BV1mX4y1h7Dk,苏星河牛通,598464467,1325402,6237,78713,25686,11743,23115,2023/5/30 12:18,449,【苏星河硬件】全新的华为MateX3，究竟领先了时代多少？,未找到作者简介,"科技猎手2023,iPhone,手机,数码,科技,苏星河牛通,鸿蒙,软件应用,折叠屏,华为MateX3,科技,软件应用",356669728
云顶之弈S9：连败收菜7个妮蔻直接三星？内测全部三星5费1打9画面！【云顶之弈】【金铲铲之战】林小北S9,https://www.bilibili.com/video/BV1W8411f7St,林小北Lindo,18343134,828681,1777,53504,7376,4185,8432,2023/5/31 9:00,451,S9的第一期视频制作耗时巨大，如果帮您了解到了S9大家记得三连哦，这次一定！ 视频播放量 828681、弹幕量 1777、点赞数 53504、投硬币枚数 7376、收藏人数 4185、转发人数 8432,未找到作者简介,"万物皆可游戏,云顶之弈,英雄联盟,电子竞技,LOL,云顶阵容,金铲铲之战,云顶之弈S9,铲铲市危机,游戏,电子竞技",229233460
新设计：湖中心水力发电站,https://www.bilibili.com/video/BV1qX4y1h7wU,手工甲,1247049723,802792,2520,38200,7866,4084,784,2023/5/29 20:18,454,新设计：湖中心水力发电站,未找到作者简介,"做一种很新的手工,手工,微缩建筑,迷你建筑,一起做手工吧6.0艺术幻想季,生活,手工",356633384
牛魔王：没有人比我更懂如何当“ 贱谍 ”！！  《无间西游·叁-6》,https://www.bilibili.com/video/BV1CM4y1e7pX,芦苇十三少,5818410,152576,571,19460,10415,2050,121,2023/6/2 18:13,455,第一集BV1Jg4y1b7D4   第二集BV1jm4y1z79n   第三集BV1Cc411p7Qr 第四集BV1Lo4y1x7cJ第五集BV1Va4y1u7Rp硬币过三万！！必定更下集！！硬币过三万！！必定更下集！！硬币过三万！！必定更下集！！求点赞啊！！！要饿死啦！！求三连！！！求点赞啊！！！要饿死啦！！求三连！！！求点赞啊！！！要饿死啦！！求三连！！！求点赞啊！！！要饿死啦！！求三连！！！,未找到作者简介,"奇妙动画剧场,孙悟空,手书,搞笑,西游记,原创动画,唐僧,无间道,配音秀,中配,致热爱动画的你·2023春季创作激励,动画,短片·手书·配音",911865028
火柴人 VS 我的世界系列 第三十一集 终极矿车竞赛 （Ultimate Minecart Race）,https://www.bilibili.com/video/BV1Wh4y1s7Zd,火柴人AlanBecker,519253600,917527,8031,89343,39888,28483,4238,2023/5/28 0:24,467,我的世界系列第三十一集终于和大家见面了！感谢大家的支持~！,未找到作者简介,"动画短片群星计划,火柴人,动画短片,我的世界,MC动画,动画,原创动画,火柴人动画,竞赛,终极,动画短片群星计划 第八期,动画,短片·手书·配音",614242041
认识了1个月的富婆学妹，最后吐槽我穷给我整破防了..【恋爱本02】,https://www.bilibili.com/video/BV1Dh4y1s7J1,小腾哥丶,77669328,404539,708,17969,3876,1674,309,2023/6/1 17:40,472,点赞破1w，继续拍和学妹的后续视频,未找到作者简介,"情侣,约会,校园,学妹,情感,恋爱,富婆,网恋,童锦程,生活,日常",614361989
五种游戏瞄准镜的实现方式，和不太引人注意的细节_单机游戏热门视频,https://www.bilibili.com/video/BV19h4y1R7Qv,板爸EliteNpc,16769540,691599,1171,54420,13499,8948,498,2023/5/27 21:58,473,简介：本来以为很快能做完，没想到各种细节让我也花了不少时间，呀哈哈；已有54420名塞尔达传说玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"五种游戏瞄准镜的实现方式，和不太引人注意的细节,游戏知识分享官,塞尔达传说,使命召唤,CS:GO,单机游戏,电子竞技,游戏,FPS,开发,代码,游戏,单机游戏",656728213
全高台六星干员 VS 满级自回血宿主重装组长，这就是1378Hps的实力！【明日方舟】_明日方舟,https://www.bilibili.com/video/BV1fV4y1m7zV,-碱式碳酸咸鱼-,12073864,372921,3073,29962,2669,2478,434,2023/6/1 19:59,474,"简介：BGM：
网易云歌单搜索：大群，需要音乐
1. 名前のない青；已有29962名明日方舟玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新",未找到作者简介,"全高台六星干员 VS 满级自回血宿主重装组长，这就是1378Hps的实力！【明日方舟】,MILABO,明日方舟创作者应援计划,明日方舟,手机游戏,六星干员,电子斗蛐蛐,宿主重装组长,尖灭测试,高台,明日方舟UP主应援计划 – 孤星,游戏,手机游戏",869325526
最“短命”的网红小吃，当年排队疯抢，如今怎么样了？？？,https://www.bilibili.com/video/BV1JM4y1i7hD,穿毛裤的小拉泽,478691043,755267,4572,43325,4052,2912,373,2023/6/2 17:10,475,有些网红小吃曾经红极一时，如今陨落神坛~~但也有些网红小吃可能过气了，但是作为一道地方特色美食却经典永流传~~铁打的神颜拉泽哥，流水的网红小零食。口味仅代表我个人，榜单仅供大家参考！如果大家觉得本期有用，麻烦三连下~万分感谢！?注：封神榜&gt;名士榜&gt;凡人榜&gt;妖魔榜,未找到作者简介,"分享你的夏日必吃美食,小吃,吃货,美食,油条包麻糍,空气年糕,拇指生煎,竹筒奶茶,热奶宝,网红美食,四季美食·芬芳五月·美食探寻季,美食,美食测评",911658202
吃顿正宗川菜宴席菜是种什么体验？,https://www.bilibili.com/video/BV1Rz4y1i7xs,真探高文麒,3.49308E+15,311156,1887,17271,1763,1910,915,2023/6/2 11:30,475,吃顿正宗川菜宴席菜是种什么体验？,未找到作者简介,"分享你的夏日必吃美食,川菜,探店,美食,成都,三川九味,四川美食,四季美食·芬芳五月·美食探寻季,美食,美食侦探",571787701
